# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
mud	v.	soil with mud, muck, or mire
mud	v.	plaster with mud
muddiness	n.	the wetness of ground that is covered or soaked with water
muddiness	n.	a mental state characterized by a lack of clear and orderly thought and behavior
muddiness	n.	the quality of being cloudy
muddle	n.	a confused multitude of things
muddle	n.	informal terms for a difficult situation
muddle	v.	make into a puddle
muddle	v.	mix up or confuse
muddleheaded	adj.	stupid and confused; ; - Isaac Sterne
muddy	v.	dirty with mud
muddy	v.	cause to become muddy
muddy	v.	make turbid
muddy	adj.	(of soil) soft and watery
muddy	adj.	dirty and messy; covered with mud or muck
muddy	adj.	(of color) discolored by impurities; not bright and clear;  is often used in combination
muddy	adj.	(of liquids) clouded as with sediment
mudguard	n.	a curved piece above the wheel of a bicycle or motorcycle to protect the rider from water or mud thrown up by the wheels
mudslide	n.	a landslide of mud
mudslinger	n.	one who spreads real or alleged scandal about another (usually for political advantage)
muenster	n.	semisoft pale-yellow cheese
muesli	n.	mixture of untoasted dry cereals and fruits
muezzin	n.	the Muslim official of a mosque who summons the faithful to prayer from a minaret five times a day
muff	n.	a warm tubular covering for the hands
muff	n.	(sports) dropping the ball
muff	v.	fail to catch, as of a ball
muff	v.	make a mess of, destroy or ruin
muffin	n.	a sweet quick bread baked in a cup-shaped pan
muffle	n.	a kiln with an inner chamber for firing things at a low temperature
muffle	v.	conceal or hide
muffle	v.	deaden (a sound or noise), especially by wrapping
muffler	n.	a tubular acoustic device inserted in the exhaust system that is designed to reduce noise
muffler	n.	a scarf worn around the neck
muffler	n.	a device that decreases the amplitude of electronic, mechanical, acoustical, or aerodynamic oscillations
mufti	n.	a jurist who interprets Muslim religious law
mufti	n.	civilian dress worn by a person who is entitled to wear a military uniform
mug	n.	the quantity that can be held in a mug
mug	n.	a person who is gullible and easy to take advantage of
mug	n.	the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)
mug	n.	with handle and usually cylindrical
mug	v.	rob at gunpoint or with the threat of violence
mugful	n.	the quantity that can be held in a mug
mugged	v.	rob at gunpoint or with the threat of violence
mugger	n.	a robber who takes property by threatening or performing violence on the person who is robbed (usually on the street)
mugginess	n.	a state of warm humidity
mugging	n.	assault with intent to rob
mugging	v.	rob at gunpoint or with the threat of violence
muggins	n.	a person who lacks good judgment
muggy	adj.	hot or warm and humid
mugshot	n.	a photograph of someone's face (especially one made for police records)
mugwump	n.	someone who bolted from the Republican Party during the U.S. presidential election of 1884
mugwump	n.	a neutral or uncommitted person (especially in politics)
muhammad	n.	leader of Black Muslims who campaigned for independence for Black Americans (1897-1975)
muhammad	n.	the Arab prophet who, according to Islam, was the last messenger of Allah (570-632)
muhammadan	n.	a follower of Mohammed
muhammadan	adj.	of or relating to the Arabian prophet Muhammad or to the religion he founded
muhammadanism	n.	the monotheistic religious system of Muslims founded in Arabia in the 7th century and based on the teachings of Muhammad as laid down in the Koran
muir	n.	United States naturalist (born in England) who advocated the creation of national parks (1838-1914)
mulatto	n.	an offspring of a black and a white parent
mulattoes	n.	an offspring of a black and a white parent
mulberry	n.	any of several trees of the genus Morus having edible fruit that resembles the blackberry
mulberry	n.	sweet usually dark purple blackberry-like fruit of any of several mulberry trees of the genus Morus
mulch	n.	a protective covering of rotting vegetable matter spread to reduce evaporation and soil erosion
mulch	v.	cover with mulch
mulct	n.	money extracted as a penalty
mulct	v.	deprive of by deceit
mulct	v.	impose a fine on
mule	n.	hybrid offspring of a male donkey and a female horse; usually sterile
mule	n.	a slipper that has no fitting around the heel
muleteer	n.	a worker who drives mules
mulish	adj.	unreasonably rigid in the face of argument or entreaty or attack
mulishness	n.	the trait of being difficult to handle or overcome
mull	n.	a term used in Scottish names of promontories
mull	n.	an island in western Scotland in the Inner Hebrides
mull	v.	reflect deeply on a subject
mull	v.	heat with sugar and spices to make a hot drink
mullah	n.	a Muslim trained in the doctrine and law of Islam; the head of a mosque
mullahs	n.	a Muslim trained in the doctrine and law of Islam; the head of a mosque
mullein	n.	any of various plants of the genus Verbascum having large usually woolly leaves and terminal spikes of yellow or white or purplish flowers
muller	n.	Swiss chemist who synthesized DDT and discovered its use as an insecticide (1899-1965)
muller	n.	Swiss physicist who studied superconductivity (born in 1927)
muller	n.	German physiologist and anatomist (1801-1858)
muller	n.	German mathematician and astronomer (1436-1476)
muller	n.	British philologist (born in Germany) who specialized in Sanskrit (1823-1900)
muller	n.	United States geneticist who studied the effects of X-rays on genes (1890-1967)
muller	n.	a reflective thinker characterized by quiet contemplation
muller	n.	a heavy tool of stone or iron (usually with a flat base and a handle) that is used to grind and mix material (as grain or drugs or pigments) against a slab of stone
muller	n.	a vessel in which wine is mulled
mullet	n.	highly valued lean flesh of marine or freshwater mullet
mullet	n.	freshwater or coastal food fishes a spindle-shaped body; found worldwide
mullet	n.	bottom dwelling marine warm water fishes with two barbels on the chin
mulligan	n.	Irish version of burgoo
mulligatawny	n.	a soup of eastern India that is flavored with curry; prepared with a meat or chicken base
mullion	n.	a nonstructural vertical strip between the casements or panes of a window (or the panels of a screen)
multicellular	adj.	consisting of many cells
multicolored	adj.	having sections or patches colored differently and usually brightly
multicultural	adj.	of or relating to or including several cultures
multiculturalism	n.	the doctrine that several different cultures (rather than one national culture) can coexist peacefully and equitably in a single country
multidimensional	adj.	having or involving or marked by several dimensions or aspects
multifaceted	adj.	having many aspects
multifarious	adj.	having many aspects
multifariousness	n.	noticeable heterogeneity
multiform	adj.	occurring in or having many forms or shapes or appearances; - John Dewey
multilateral	adj.	having many parts or sides
multilevel	adj.	of a building having more than one level
multilingual	adj.	using or knowing more than one language
multimedia	n.	transmission that combine media of communication (text and graphics and sound etc.)
multinational	adj.	involving or operating in several nations or nationalities
multiple	n.	the product of a quantity by an integer
multiple	adj.	having or involving or consisting of more than one part or entity or individual
multiplex	n.	communicates two or more signals over a common channel
multiplex	n.	a movie theater than has several different auditoriums in the same building
multiplex	adj.	many and varied; having many features or forms
multiplex	adj.	having many parts or aspects
multiplexer	n.	a device that can interleave two or more activities
multiplicand	n.	the number that is multiplied by the multiplier
multiplication	n.	the act of producing offspring or multiplying by such production
multiplication	n.	a multiplicative increase
multiplication	n.	an arithmetic operation that is the inverse of division; the product of two numbers is computed
